round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
1,2,2.0,173.5,173.5,2,0,0,17,0
2,0,1.0,256.4,214.95,0,0,0,25,0
3,0,0.67,-28.8,133.7,0,0,1,18,0
4,0,0.5,175.9,144.25,0,0,0,23,0
5,3,1.0,487.3,212.86,3,0,0,27,1
6,1,1.0,196.3,210.1,1,0,0,27,0
7,1,1.0,108.8,195.63,1,0,0,13,0
8,1,1.0,148.3,189.71,1,0,0,12,0
9,1,1.0,431.7,216.6,1,0,0,24,1
10,0,0.9,49.8,199.92,0,0,0,10,0
11,0,0.82,547.0,231.47,0,0,0,37,1
12,0,0.75,93.4,219.97,0,0,0,13,0
13,1,0.77,409.0,234.51,1,0,0,26,0
14,1,0.79,70.1,222.76,1,0,1,18,0
15,3,0.93,544.8,244.23,3,0,0,26,1
16,7,1.31,585.1,265.54,2,1,0,34,1
17,0,1.24,284.4,266.65,0,0,0,15,1
18,0,1.17,455.3,277.13,0,0,0,40,0
19,0,1.11,136.7,269.74,0,0,0,25,0
20,1,1.1,382.1,275.35,1,0,0,26,0
21,1,1.1,-5.8,261.97,1,0,1,13,0
22,5,1.27,593.7,277.05,0,1,0,22,1
23,6,1.48,329.8,279.34,1,1,1,37,0
24,1,1.46,354.3,282.46,1,0,0,23,0
25,0,1.4,80.4,274.38,0,0,1,22,0
26,5,1.54,589.5,286.5,0,1,0,30,1
27,0,1.48,128.1,280.63,0,0,1,31,0
28,1,1.46,274.8,280.43,1,0,0,30,0
29,5,1.59,195.6,277.5,0,1,1,23,0
30,1,1.57,210.4,275.26,1,0,0,28,0
31,1,1.55,185.1,272.35,1,0,0,23,0
32,0,1.5,125.2,267.76,0,0,0,26,0
33,0,1.45,453.4,273.38,0,0,0,22,1
34,1,1.44,325.5,274.91,1,0,0,30,1
35,0,1.4,53.0,268.57,0,0,1,22,0
36,2,1.42,189.3,266.37,2,0,0,17,0
37,0,1.38,129.0,262.66,0,0,0,20,0
38,3,1.42,159.5,259.94,3,0,0,11,0
39,0,1.38,85.0,255.46,0,0,0,11,0
40,0,1.35,-30.0,248.32,0,0,1,13,0
41,1,1.34,140.7,245.7,1,0,1,27,0
42,0,1.31,193.2,244.45,0,0,0,27,0
43,5,1.4,551.2,251.58,0,1,0,31,1
44,0,1.36,78.5,247.65,0,0,0,16,0
45,7,1.49,414.9,251.36,2,1,1,27,0
46,0,1.46,-2.1,245.85,0,0,1,15,0
47,1,1.45,310.9,247.24,1,0,0,23,0
48,6,1.54,336.4,249.1,1,1,0,18,0
49,1,1.53,109.3,246.24,1,0,0,13,0
50,2,1.54,400.5,249.33,2,0,0,19,1
51,1,1.53,212.6,248.61,1,0,0,23,0
52,2,1.54,510.3,253.64,2,0,0,27,1
53,2,1.55,536.6,258.98,2,0,0,37,1
54,0,1.52,-15.0,253.91,0,0,1,12,0
55,1,1.51,70.4,250.57,1,0,1,21,0
56,4,1.55,269.4,250.91,4,0,0,18,0
57,0,1.53,59.6,247.55,0,0,1,20,0
58,1,1.52,152.1,245.9,1,0,0,17,0
59,3,1.54,318.1,247.13,3,0,0,27,0
60,0,1.52,216.3,246.61,0,0,0,22,0
61,3,1.54,637.3,253.02,3,0,0,33,1
62,1,1.53,147.3,251.31,1,0,0,19,0
63,1,1.52,520.1,255.58,1,0,0,38,1
64,2,1.53,249.5,255.48,2,0,1,28,0
65,0,1.51,107.4,253.21,0,1,1,14,0
66,1,1.5,233.3,252.9,1,0,0,21,0
