variant,round,metric,value
task3,1.0,score,0.0
task3,2.0,score,0.5
task3,3.0,score,0.3333
task3,4.0,score,0.25
task3,5.0,score,0.2
task3,6.0,score,0.1667
task3,7.0,score,0.2857
task3,8.0,score,0.375
task3,9.0,score,0.3333
task3,10.0,score,0.4
task3,11.0,score,0.3636
task3,12.0,score,0.3333
task3,13.0,score,0.3077
task3,14.0,score,0.2857
task3,15.0,score,0.2667
task3,16.0,score,0.25
task3,17.0,score,0.2353
task3,18.0,score,0.2222
task3,19.0,score,0.2105
task3,20.0,score,0.2
task3,21.0,score,0.1905
task3,22.0,score,0.1818
task3,23.0,score,0.2174
task3,24.0,score,0.2083
task3,25.0,score,0.28
task3,26.0,score,0.2692
task3,27.0,score,0.2593
task3,28.0,score,0.25
task3,29.0,score,0.2414
task3,30.0,score,0.2333
task3,31.0,score,0.2258
task3,32.0,score,0.2188
task3,33.0,score,0.2121
task3,34.0,score,0.2353
task3,35.0,score,0.2286
task3,36.0,score,0.2222
task3,37.0,score,0.2162
task3,38.0,score,0.2105
task3,39.0,score,0.2051
task3,40.0,score,0.2
task3,41.0,score,0.1951
task3,42.0,score,0.1905
task3,43.0,score,0.186
task3,44.0,score,0.1818
task3,45.0,score,0.1778
task3,46.0,score,0.1739
task3,47.0,score,0.1702
task3,48.0,score,0.1875
task3,49.0,score,0.1837
task3,50.0,score,0.18
task3,51.0,score,0.1765
task3,52.0,score,0.2115
task3,53.0,score,0.2453
task3,54.0,score,0.2407
task3,55.0,score,0.2364
task3,56.0,score,0.2321
task3,57.0,score,0.2281
task3,58.0,score,0.2241
task3,59.0,score,0.2203
task3,60.0,score,0.2167
task3,61.0,score,0.2131
task3,62.0,score,0.2258
task3,63.0,score,0.2222
task3,64.0,score,0.2188
task3,65.0,score,0.2308
task3,66.0,score,0.2273
task3,67.0,score,0.2239
task3,68.0,score,0.2206
task3,69.0,score,0.2174
task3,70.0,score,0.2143
task3,71.0,score,0.2113
task3,72.0,score,0.2083
task3,73.0,score,0.2055
task3,74.0,score,0.2027
task3,75.0,score,0.2
task3,76.0,score,0.1974
task3,77.0,score,0.1948
task3,78.0,score,0.2051
task3,79.0,score,0.2025
task3,80.0,score,0.2
task3,81.0,score,0.2222
task3,82.0,score,0.2195
task3,83.0,score,0.2169
task3,84.0,score,0.2143
task3,85.0,score,0.2235
task3,86.0,score,0.2209
task3,87.0,score,0.2184
task3,88.0,score,0.2159
task3,89.0,score,0.2247
task3,90.0,score,0.2444
task3,91.0,score,0.2418
task3,92.0,score,0.2391
task3,93.0,score,0.2366
task3,94.0,score,0.234
task3,95.0,score,0.2316
task3,96.0,score,0.2292
task3,97.0,score,0.2268
task3,98.0,score,0.2245
task3,99.0,score,0.2222
task3,100.0,score,0.22
task3,101.0,score,0.22
task3,102.0,score,0.23
task3,103.0,score,0.23
task3,104.0,score,0.23
task3,105.0,score,0.23
task3,106.0,score,0.24
task3,107.0,score,0.23
task3,108.0,score,0.22
task3,109.0,score,0.22
task3,110.0,score,0.22
task3,111.0,score,0.23
task3,112.0,score,0.23
task3,113.0,score,0.23
task3,114.0,score,0.23
task3,115.0,score,0.23
task3,116.0,score,0.23
task3,117.0,score,0.23
task3,118.0,score,0.23
task3,119.0,score,0.23
task3,120.0,score,0.23
task3,121.0,score,0.23
task3,122.0,score,0.25
task3,123.0,score,0.25
task3,124.0,score,0.25
task3,125.0,score,0.23
task3,126.0,score,0.25
task3,127.0,score,0.25
task3,128.0,score,0.26
task3,129.0,score,0.27
task3,130.0,score,0.27
task3,131.0,score,0.28
task3,132.0,score,0.28
task3,133.0,score,0.28
task3,134.0,score,0.27
task3,135.0,score,0.27
task3,136.0,score,0.28
task3,137.0,score,0.28
task3,138.0,score,0.28
task3,139.0,score,0.28
task3,140.0,score,0.28
task3,141.0,score,0.28
task3,142.0,score,0.28
task3,143.0,score,0.28
task3,144.0,score,0.28
task3,145.0,score,0.29
task3,146.0,score,0.29
task3,147.0,score,0.3
task3,148.0,score,0.3
task3,149.0,score,0.3
task3,150.0,score,0.3
task3,151.0,score,0.31
task3,152.0,score,0.29
task3,153.0,score,0.27
task3,154.0,score,0.28
task3,155.0,score,0.28
task3,156.0,score,0.28
task3,157.0,score,0.28
task3,158.0,score,0.3
task3,159.0,score,0.3
task3,160.0,score,0.3
task3,161.0,score,0.3
task3,162.0,score,0.29
task3,163.0,score,0.29
task3,164.0,score,0.29
task3,165.0,score,0.3
task3,166.0,score,0.3
task3,167.0,score,0.31
task3,168.0,score,0.31
task3,169.0,score,0.31
task3,170.0,score,0.31
task3,171.0,score,0.31
task3,172.0,score,0.31
task3,173.0,score,0.31
task3,174.0,score,0.32
task3,175.0,score,0.32
task3,176.0,score,0.34
task3,177.0,score,0.34
task3,178.0,score,0.33
task3,179.0,score,0.34
task3,180.0,score,0.34
task3,181.0,score,0.32
task3,182.0,score,0.32
task3,183.0,score,0.32
task3,184.0,score,0.32
task3,185.0,score,0.31
task3,186.0,score,0.31
task3,187.0,score,0.31
task3,188.0,score,0.31
task3,189.0,score,0.3
task3,190.0,score,0.28
task3,191.0,score,0.28
task3,192.0,score,0.31
task3,193.0,score,0.31
task3,194.0,score,0.32
task3,195.0,score,0.32
task3,196.0,score,0.33
task3,197.0,score,0.33
task3,198.0,score,0.33
task3,199.0,score,0.33
task3,200.0,score,0.33
task3,201.0,score,0.33
task3,202.0,score,0.31
task3,203.0,score,0.31
task3,204.0,score,0.31
task3,205.0,score,0.31
task3,206.0,score,0.3
task3,207.0,score,0.3
task3,208.0,score,0.3
task3,209.0,score,0.3
task3,210.0,score,0.29
task3,211.0,score,0.28
task3,212.0,score,0.28
task3,213.0,score,0.29
task3,214.0,score,0.29
